time,eastward_wind_velocity,northward_wind_velocity
3693294326,-2.109999895,-4.150000095
3693294391,-1.970000029,-4.420000076
3693294455,-2.109999895,-4.130000114
3693294519,-1.5,-3.50999999
3693294584,-1.929999948,-4.199999809
3693294616,-2.619999886,-3.839999914
3693294680,-2.339999914,-3.410000086
3693294745,-2.619999886,-3.569999933
3693294809,-3,-3.849999905
3693294873,-2.710000038,-4.190000057
3693294939,-2.380000114,-3.970000029
3693295003,-1.75999999,-3.819999933
3693295036,-1.789999962,-4.230000019
3693295101,-2.180000067,-4.840000153
3693295165,-1.960000038,-4.369999886
3693295229,-1.289999962,-4.360000134
3693295294,-1.75,-3.519999981
3693295358,-2.390000105,-4.210000038
3693295422,-2.309999943,-4.110000134
3693295456,-3.170000076,-3.460000038
3693295520,-1.830000043,-3.809999943
3693295587,-1.5,-4.179999828
3693295652,-1.299999952,-4.369999886
3693295717,-0.800000012,-4.510000229
3693295782,-1.980000019,-4.460000038
3693295816,-1.909999967,-4.110000134
3693295881,-2.25999999,-3.829999924
3693295945,-3.730000019,-2.960000038
3693296010,-1.860000014,-3.609999895
3693296074,-2.269999981,-4.070000172
3693296138,-2.150000095,-4.360000134
3693296203,-1.789999962,-3.720000029
3693296236,-1.49000001,-4.340000153
3693296300,-2.170000076,-4.210000038
3693296365,-2.799999952,-3.779999971
3693296429,-1.299999952,-3.910000086
3693296494,-1.950000048,-4.869999886
3693296558,-2.019999981,-4.579999924
3693296622,-1.570000052,-4.050000191
3693296656,-0.699999988,-4.099999905
3693296720,-1.470000029,-3.849999905
3693296785,-1.309999943,-5.349999905
3693296850,-1.590000033,-4.840000153
3693296915,-1.230000019,-4.349999905
3693296980,-1.779999971,-4.650000095
3693297046,-1.710000038,-4.420000076
3693297143,-2.730000019,-3.75
3693297207,-2.00999999,-3.619999886
3693297271,-2.559999943,-4.699999809
3693297335,-0.569999993,-4.730000019
3693297400,-2.160000086,-4.230000019
3693297465,-2.180000067,-4.260000229
3693297497,-0.579999983,-4.909999847
3693297562,-2.019999981,-4.820000172
3693297626,-0.670000017,-4.559999943
3693297693,-1.190000057,-3.470000029
3693297757,0.389999986,-5.010000229
3693297821,-0.610000014,-4.159999847
3693297856,-1.570000052,-4.420000076
3693297917,-1.019999981,-4.289999962
3693297981,-0.5,-4.059999943
3693298046,-2.190000057,-4.409999847
3693298111,-1.179999948,-4.860000134
3693298175,-1.879999995,-4.659999847
3693298240,-0.589999974,-4.460000038
3693298304,-1.620000005,-4.820000172
3693298337,-0.430000007,-4.599999905
3693298402,-0.579999983,-4.820000172
3693298466,-1.049999952,-5.320000172
3693298530,0.370000005,-5.019999981
3693298595,0.519999981,-4.949999809
3693298659,-0.769999981,-4.550000191
3693298724,0.159999996,-4.869999886
3693298756,-0.159999996,-4.869999886
3693298821,0.310000002,-3.730000019
3693298885,-0.839999974,-4.079999924
3693298949,-1.25,-4.809999943
3693299014,-0.090000004,-4.869999886
3693299078,-2.069999933,-5.320000172
3693299142,-1.769999981,-4.53000021
3693299177,0.119999997,-5.059999943
3693299237,-1.940000057,-4.320000172
3693299302,-2.640000105,-4.909999847
3693299366,-0.239999995,-5.400000095
3693299430,-1.440000057,-4.860000134
3693299495,-2.119999886,-4.360000134
3693299560,-0.449999988,-4.170000076
3693299624,-0.200000003,-4.550000191
3693299657,-0.649999976,-5.519999981
3693299721,-0.920000017,-4.980000019
3693299787,-0.059999999,-5.369999886
3693299851,-0.200000003,-5.239999771
3693299916,0.629999995,-4.369999886
3693299980,-1.080000043,-4.989999771
3693300044,-1.059999943,-5.010000229
3693300077,-0.200000003,-5.150000095
3693300141,0.970000029,-4.889999866
3693300205,-0.430000007,-4.960000038
3693300270,-0.349999994,-4.880000114
3693300334,0.289999992,-5.789999962
3693300398,-1.730000019,-4.75
3693300463,-0.579999983,-4.429999828
3693300496,0.610000014,-5.260000229
3693300563,0.920000017,-5.579999924
3693300628,0.189999998,-5.239999771
3693300692,-0.99000001,-4.5
3693300757,-0.939999998,-5.130000114
3693300821,-0.239999995,-5.170000076
3693300856,-0.170000002,-4.739999771
3693300917,-0.439999998,-5.010000229
3693300983,-0.300000012,-3.789999962
3693301048,-0.639999986,-4.539999962
3693301113,-0.059999999,-4.880000114
3693301179,-1.120000005,-4.860000134
3693301243,-0.819999993,-4.389999866
3693301276,-0.050000001,-5.369999886
3693301341,0.109999999,-4.510000229
3693301405,-1.929999948,-4.860000134
3693301470,-0.610000014,-5.110000134
3693301534,0.109999999,-5.760000229
3693301598,0.600000024,-4.46999979
3693301664,-1.419999957,-3.789999962
3693301696,-1.00999999,-5.349999905
3693301760,0.180000007,-4.699999809
3693301826,-0.600000024,-4.329999924
3693301891,-0.140000001,-4.53000021
3693301955,-0.600000024,-5.090000153
3693302019,0.5,-5.329999924
3693302083,-0.25999999,-4.130000114
3693302116,0.779999971,-4.760000229
3693302180,1.029999971,-3.680000067
3693302245,-1.049999952,-4.96999979
3693302309,0.610000014,-4.849999905
3693302373,0.140000001,-4.889999866
3693302438,0.25999999,-5.550000191
3693302503,0.189999998,-5.429999828
3693302536,1.179999948,-5.269999981
3693302601,0.839999974,-4.940000057
3693302665,0.810000002,-4.579999924
3693302729,-0.629999995,-4.480000019
3693302794,-0.389999986,-5.139999866
3693302858,-1.539999962,-5.070000172
3693302922,-0.050000001,-5.690000057
3693302956,-0.600000024,-5.46999979
3693303020,0.079999998,-4.929999828
3693303085,-0.610000014,-4.460000038
3693303150,1.370000005,-4.619999886
3693303214,-0.74000001,-4.349999905
3693303278,-0.360000014,-5.909999847
3693303343,1.049999952,-6.199999809
3693303377,-0.340000004,-4.900000095
3693303442,-0.449999988,-5.25
3693303507,-0.870000005,-5.099999905
3693303572,-0.02,-5.03000021
3693303636,0.140000001,-5.679999828
3693303698,0.159999996,-5.010000229
3693303763,0.100000001,-5.289999962
3693303796,-1.649999976,-5.840000153
3693303860,-0.670000017,-5.389999866
3693303925,-0.129999995,-5.559999943
